,sigma,q,set,ntest,regressor,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
0,0.1,0.1,1,10,rf,0.0,0.0,0.0,0.07336507937,0.7276190476000001,3.89,0.10344841273,0.8311666666499999,4.71,0.04569047619047619,0.6549880952380953,3.34
1,0.1,0.1,1,100,rf,0.0,0.0,0.0,0.04299643843,0.70548167519,36.88,0.08880549891999999,0.80361668088,44.24,0.005370629785445272,0.3972341464446525,19.92
2,0.1,0.1,1,500,rf,0.0,0.0,0.0,0.05104587704,0.7180734838399999,189.66,0.09748741223,0.81695423324,227.58,0.01653490560043355,0.08299782086775091,20.88
3,0.1,0.1,1,1000,rf,0.0,0.0,0.0,0.048759549150000005,0.68967406251,362.59,0.09714464680000001,0.78465497152,434.81,0.012002101762971324,0.03426837563175035,17.3
4,0.1,0.1,2,10,rf,0.0,0.02,0.19,0.00644444444,0.91359126985,7.97,0.09788888886000001,1.0,9.58,0.011873015873015874,0.9213055555555556,8.23
5,0.1,0.1,2,100,rf,0.0,0.0,0.0,0.013882864889999999,0.93523158659,82.16,0.09577861279000001,0.99988095238,95.8,0.001058403361344534,0.6082785575075419,52.21
6,0.1,0.1,2,500,rf,0.0,0.0,0.0,0.01390319421,0.932500018,409.04,0.09786606826,0.99983864492,479.29,0.001033710810569576,0.12246749902981134,52.89
7,0.1,0.1,2,1000,rf,0.0,0.0,0.0,0.01338676619,0.93984543728,823.01,0.10069198817,0.9999653158399999,960.68,0.001020887482867737,0.05476429761736143,47.43
8,0.1,0.1,5,10,rf,0.0,0.0,0.0,0.045833333329999996,0.056797619050000005,0.4,0.07033333332,0.12935714286,0.88,0.10833333333333334,0.05801190476190476,0.45
9,0.1,0.1,5,100,rf,0.0,0.0,0.0,0.03019696971,0.010848683990000002,0.73,0.10622927076,0.04052475931,2.65,0.045,0.009562979199361632,0.51
10,0.1,0.1,5,500,rf,0.0,0.0,0.0,0.08295238096,0.00571260345,1.72,0.07029804057,0.01806867695,5.53,0.09949999999999999,0.002452626311683757,0.76
11,0.1,0.1,5,1000,rf,0.0,0.0,0.0,0.03819354664,0.00238465236,1.44,0.09796663035,0.01509972347,9.14,0.06833333333333333,0.000899531822264112,0.54
12,0.1,0.1,6,10,rf,0.0,0.0,0.0,0.07116666665,0.32683333331,1.35,0.09666666665,0.3942760942828283,1.63,0.06666666666666667,0.2516666666666667,0.9
13,0.1,0.1,6,100,rf,0.0,0.0,0.0,0.06198246054,0.16561288226999998,5.81,0.09764885783,0.26683392529,9.77,0.025580086580086578,0.06649594818727671,2.17
14,0.1,0.1,6,500,rf,0.0,0.0,0.0,0.07162696595,0.16434932298,28.97,0.09424886905999999,0.23847868514,43.04,0.048150793650793645,0.012894750979336672,2.17
15,0.1,0.1,6,1000,rf,0.0,0.0,0.0,0.05792679033,0.13287413301,45.83,0.09438807539,0.2240226609,79.59,0.0355,0.006404120626650895,2.1
16,0.1,0.2,1,10,rf,0.0,0.0,0.0,0.10882539682,0.80405952383,4.64,0.20316666666,0.91536904762,5.81,0.04317857142857143,0.7711785714285715,4.08
17,0.1,0.2,1,100,rf,0.0,0.0,0.0,0.09014253646,0.84351320098,46.95,0.19683329150999998,0.9187303851599999,57.91,0.016787464712925537,0.5218807623294701,26.28
18,0.1,0.2,1,500,rf,0.0,0.0,0.0,0.10984681714000001,0.82971259182,231.48,0.20319901459,0.91949156707,289.23,0.006024028577614829,0.16458617918686447,41.66
19,0.1,0.2,1,1000,rf,0.0,0.0,0.0,0.09396000255,0.8427794203400001,468.08,0.19970946504,0.93259369716,583.97,0.011126390657365452,0.08926944876825224,45.18
20,0.1,0.2,2,10,rf,0.0603174603,0.95646031746,8.93,0.02420238095,0.97846428571,8.67,0.136,1.0,10.0,0.025480158730158728,0.9525198412698412,8.48
21,0.1,0.2,2,100,rf,0.06677440688,0.99564668387,92.16,0.02743038083,0.9692584574800001,86.04,0.1369,1.0,100.0,0.0034443052356586163,0.7002686218927281,61.04
22,0.1,0.2,2,500,rf,0.06282551365,0.99659933163,460.78,0.02661576815,0.97446785448,433.7,0.13362,1.0,500.0,0.001973318400506586,0.23659502661745688,102.24
23,0.1,0.2,2,1000,rf,0.06689971836,0.99704182735,923.51,0.02724752166,0.9743209090499999,865.5,0.13596,1.0,1000.0,0.001887527972192584,0.11245205521085987,97.19
24,0.1,0.2,5,10,rf,0.0,0.0,0.0,0.10399999999000001,0.13013095238,0.86,0.22576190476000002,0.30185714287,2.22,0.14,0.11921825396825396,0.74
25,0.1,0.2,5,100,rf,0.0,0.0,0.0,0.06111616162,0.0338372127,2.02,0.19123689497000002,0.19133397163000002,12.57,0.06933333333333333,0.01980246075767167,1.19
26,0.1,0.2,5,500,rf,0.0,0.0,0.0,0.09152576284,0.0207263404,6.47,0.20340228967,0.13807932135,45.94,0.1195,0.003392104800659741,1.09
27,0.1,0.2,5,1000,rf,0.0,0.0,0.0,0.09575988243,0.01674230089,10.47,0.19014896117,0.14364272084,94.02,0.06388888888888888,0.0014151651881155818,0.85
28,0.1,0.2,6,10,rf,0.0,0.0,0.0,0.17524999999000002,0.40490476190999997,1.91,0.28096428573,0.51392857143,2.79,0.07333333333333333,0.39838095238095234,1.43
29,0.1,0.2,6,100,rf,0.0,0.0,0.0,0.15430708966999998,0.36237649273,13.68,0.20749245616,0.5107347638699999,20.72,0.05307539682539682,0.10035444588265012,3.34
30,0.1,0.2,6,500,rf,0.0,0.0,0.0,0.13886514957999999,0.3463658901,65.48,0.19592330286999998,0.49111604577999995,99.11,0.029435897435897432,0.02328782514599008,3.85
31,0.1,0.2,6,1000,rf,0.0,0.0,0.0,0.13682611954,0.34462176149,129.02,0.20051488277,0.5160397374,207.59,0.04767564788153023,0.01270798040092221,4.31
32,0.1,0.5,1,10,rf,0.284,0.56,5.6,0.24388888889000002,0.9489166666600001,6.48,0.49877777778000004,1.0,9.97,0.12779761904761902,0.8342592592592593,4.71
33,0.1,0.5,1,100,rf,0.2731,0.54,54.0,0.24799918888,0.93151373318,61.86,0.49790146946,0.99949388209,99.12,0.034529653235370335,0.6039711859228261,30.4
34,0.1,0.5,1,500,rf,0.2645,0.53,265.0,0.25045539874,0.88859163535,297.83,0.49357641618000003,0.99785714113,492.15,0.00916898677901682,0.4891541387561525,123.7
35,0.1,0.5,1,1000,rf,0.27460999999999997,0.55,550.0,0.24911127623999998,0.94700068525,632.57,0.49235321797,0.9995044288699999,986.52,0.009715349077115597,0.21778040742848115,109.29
36,0.1,0.5,2,10,rf,0.132,1.0,10.0,0.06317460317,0.99777777778,9.24,0.132,1.0,10.0,0.06329761904761905,0.9913333333333333,9.05
37,0.1,0.5,2,100,rf,0.13570000000000002,1.0,100.0,0.06752936317,0.9981170496,92.53,0.13570000000000002,1.0,100.0,0.006617067116275966,0.8637754373001673,74.91
38,0.1,0.5,2,500,rf,0.135,1.0,500.0,0.06953329006,0.9982016352499999,464.02,0.135,1.0,500.0,0.0017730465383518578,0.5979416926129627,258.16
39,0.1,0.5,2,1000,rf,0.13488,1.0,1000.0,0.06801822166,0.99824996231,926.67,0.13488,1.0,1000.0,0.001535256154231567,0.30646955845345064,264.84
40,0.1,0.5,5,10,rf,0.00816666667,0.026309523810000002,0.19,0.28654761904000003,0.43364285711999995,3.34,0.50841666667,0.9975,9.95,0.22083333333333333,0.2890595238095238,1.91
41,0.1,0.5,5,100,rf,0.0,0.0,0.0,0.24759755818999998,0.33076626236,22.89,0.49597637842,0.98845893043,97.97,0.16699999999999998,0.040371889534804695,2.54
42,0.1,0.5,5,500,rf,0.0,0.0,0.0,0.23921804769000002,0.27606968104,94.69,0.49017250742999996,0.99021570385,488.85,0.12707142857142859,0.00759995935350322,2.31
43,0.1,0.5,5,1000,rf,0.0,0.0,0.0,0.24273799491999998,0.2853292145,193.09,0.49154710298,0.98886565337,973.41,0.12140079365079365,0.005206227454843261,3.04
44,0.1,0.5,6,10,rf,0.0,0.0,0.0,0.34896031747,0.7627946127979798,4.17,0.52759920638,0.9277210884387755,6.45,0.1953333333333333,0.5508898508898509,2.4
