,sigma,q,set,ntest,regressor,r_squared,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
0,0.1,0.1,1,10,gbr,0.8121673290647461,0.0,0.0,0.0,0.05561904761904762,0.9709761904761904,5.49,0.09502777777777777,0.9804166666666667,5.81,0.030428571428571426,0.9398690476190477,5.14
1,0.1,0.1,1,100,gbr,0.8742264608485315,0.0,0.0,0.0,0.04622866196704017,0.9838678897956307,51.23,0.0921670041046992,0.9931730036176607,54.38,0.000669495076471819,0.6365288947382554,31.63
2,0.1,0.1,1,500,gbr,0.8452082977877157,0.0,0.0,0.0,0.04708078513257826,0.9719196506261268,255.3,0.09489620208839711,0.9857765837198015,272.67,0.003251816239316237,0.12426530431987548,31.14
3,0.1,0.1,1,1000,gbr,0.8432911337385929,0.0,0.0,0.0,0.04841441235974239,0.9622694043963267,507.15,0.09648049409536939,0.9833378307415154,545.65,0.007537935061843293,0.06152887282604166,30.9
4,0.1,0.1,2,10,gbr,0.5281450051997677,0.003222222222222222,0.2058888888888889,1.94,0.01787301587301587,0.9241031746031746,7.99,0.11640079365079366,1.0,9.57,0.017706349206349205,0.9166825396825397,7.89
5,0.1,0.1,2,100,gbr,0.6905385364050944,0.0007202974577736779,0.045257322033003165,4.07,0.014072727840934907,0.9288233816926362,81.39,0.09750409512252572,1.0,95.66,0.004539797101221049,0.4136791875354093,35.93
6,0.1,0.1,2,500,gbr,0.7078021712336147,2.680965147453e-05,0.017842964931835723,7.72,0.014543572041226905,0.9225988507858173,403.78,0.1031655428897168,0.9999533797000651,480.83,0.006276068110535735,0.07463774445454162,32.27
7,0.1,0.1,2,1000,gbr,0.7117045230160257,0.00023943436204735101,0.026901793563265636,23.52,0.014013153217649139,0.9261737662637113,810.88,0.10153478699737546,0.9997791859797235,960.4,0.0051462918853261075,0.04252095834907602,36.85
8,0.1,0.1,5,10,gbr,-0.08200149788039658,0.0,0.0,0.0,0.045,0.06003571428571428,0.42,0.08116666666666666,0.1116547619047619,0.79,0.08,0.06263095238095237,0.46
9,0.1,0.1,5,100,gbr,0.027403073154168515,0.0,0.0,0.0,0.034,0.011314216125489503,0.68,0.07734676434676435,0.0330237327387847,2.06,0.04,0.007984978364764597,0.48
10,0.1,0.1,5,500,gbr,0.04268501118774983,0.0,0.0,0.0,0.05547702297702298,0.005618305874685941,1.69,0.09062126456090872,0.016982047071236607,5.33,0.05366666666666666,0.00173608695854256,0.54
11,0.1,0.1,5,1000,gbr,0.03338001656537954,0.0,0.0,0.0,0.034164002664002664,0.002504048659780514,1.44,0.08914537802382078,0.013366395574182111,8.13,0.06833333333333333,0.000779261812948497,0.49
12,0.1,0.1,6,10,gbr,0.35771201859744445,0.0,0.0,0.0,0.10483333333333332,0.3654642857142857,1.61,0.13254761904761905,0.45429761904761906,2.05,0.11083333333333334,0.3177261904761905,1.28
13,0.1,0.1,6,100,gbr,0.4656850149493685,0.0,0.0,0.0,0.08603902510161983,0.25259332246256394,8.96,0.1105355010228849,0.36838538905505996,13.48,0.04086904761904762,0.07016633480969349,2.32
14,0.1,0.1,6,500,gbr,0.4835557434016533,0.0,0.0,0.0,0.06711672654979577,0.24407564967921944,42.41,0.09759405384453919,0.3450364200827267,61.84,0.041095238095238094,0.014323512391111702,2.41
15,0.1,0.1,6,1000,gbr,0.48349288655910355,0.0,0.0,0.0,0.055537275000345554,0.20723456776270094,70.37,0.08983272268422747,0.3075069572568051,107.45,0.026595238095238095,0.007572245200605438,2.5
16,0.1,0.2,1,10,gbr,0.7904269602362759,0.0,0.0,0.0,0.08582142857142855,0.9850714285714285,5.57,0.2009365079365079,0.995,6.5,0.038440476190476185,0.9634761904761905,5.11
17,0.1,0.2,1,100,gbr,0.8445307866495945,0.0,0.0,0.0,0.10513603240489391,0.9745198919747992,55.32,0.19723583458131763,0.9895537179994772,62.68,0.002875119907607536,0.8155473552338134,41.42
18,0.1,0.2,1,500,gbr,0.8326564139596835,0.0,0.0,0.0,0.10012334709459561,0.9768589867802291,272.81,0.20121319966631274,0.9920504272886562,312.29,0.006814926281054385,0.27862722770402154,69.97
19,0.1,0.2,1,1000,gbr,0.857069194541159,0.0,0.0,0.0,0.09720388887075514,0.9851323054497861,545.94,0.19715631481101778,0.9934818540152797,619.2,0.003826645106913576,0.13628779409516156,68.59
20,0.1,0.2,2,10,gbr,0.5997444467332781,0.0389563492063492,0.9802103174603175,8.8,0.02444047619047619,0.9780912698412699,8.62,0.141,1.0,10.0,0.023551587301587303,0.9716468253968255,8.55
21,0.1,0.2,2,100,gbr,0.7082075982100506,0.04090905894583941,0.9897004568034672,89.44,0.027349331330009243,0.976234729685461,86.99,0.1335,1.0,100.0,0.0043332376008954395,0.6113521719498223,53.16
22,0.1,0.2,2,500,gbr,0.7039660964851511,0.0428984565485937,0.9887109977913853,445.97,0.027799339358235794,0.9725773300296477,431.86,0.1367,1.0,500.0,0.001681880176759108,0.1492462216707294,64.54
